args: Namespace(batch_norm=True, batchsize=128, batchsize_net=0, bn_after_bottleneck=False, bottleneck_dim=128, bottleneck_spatialsize=1, bottleneck_stride=1, convolutional_classifier=6, dataset='cifar10', dropout=0.0, feat_square=False, finalsize_avg_pooling=0, gaussian_patches=False, kneighbors=0, kneighbors_fraction=0.4, lr_schedule='{0:3e-3,50:3e-4,75:3e-5}', multigpu=False, n_channel_convolution=2048, nepochs=80, no_affine_batch_norm=False, no_cudnn=False, no_jit=False, no_padding=False, normalize_net_outputs=False, num_workers=2, numpy_seed=0, optimizer='SGD', padding_mode='reflect', patches_file='', path_test='/d1/dataset/imagenet32/out_data_val', path_train='/d1/dataset/imagenet32/out_data_train', relu_after_bottleneck=False, resnet=False, resume='', save_best_model=False, save_model=False, sgd_momentum=0.9, sigmoid=0.001, spatialsize_avg_pooling=5, spatialsize_convolution=6, stride_avg_pooling=3, stride_convolution=1, summary_file='ablation_study/ablation_study_sigmoid.txt', torch_seed=0, weight_decay=0.0, whitening_reg=0.001), final_train_acc: 89.594, final_test_acc: 82.61, best_test_acc: 82.78
args: Namespace(batch_norm=True, batchsize=128, batchsize_net=0, bn_after_bottleneck=False, bottleneck_dim=128, bottleneck_spatialsize=1, bottleneck_stride=1, convolutional_classifier=6, dataset='cifar10', dropout=0.0, feat_square=False, finalsize_avg_pooling=0, gaussian_patches=False, kneighbors=0, kneighbors_fraction=0.4, lr_schedule='{0:3e-3,50:3e-4,75:3e-5}', multigpu=False, n_channel_convolution=2048, nepochs=80, no_affine_batch_norm=False, no_cudnn=False, no_jit=False, no_padding=False, normalize_net_outputs=False, num_workers=2, numpy_seed=0, optimizer='SGD', padding_mode='reflect', patches_file='', path_test='/d1/dataset/imagenet32/out_data_val', path_train='/d1/dataset/imagenet32/out_data_train', relu_after_bottleneck=False, resnet=False, resume='', save_best_model=False, save_model=False, sgd_momentum=0.9, sigmoid=0.01, spatialsize_avg_pooling=5, spatialsize_convolution=6, stride_avg_pooling=3, stride_convolution=1, summary_file='ablation_study/ablation_study_sigmoid.txt', torch_seed=0, weight_decay=0.0, whitening_reg=0.001), final_train_acc: 89.598, final_test_acc: 82.65, best_test_acc: 82.82
args: Namespace(batch_norm=True, batchsize=128, batchsize_net=0, bn_after_bottleneck=False, bottleneck_dim=128, bottleneck_spatialsize=1, bottleneck_stride=1, convolutional_classifier=6, dataset='cifar10', dropout=0.0, feat_square=False, finalsize_avg_pooling=0, gaussian_patches=False, kneighbors=0, kneighbors_fraction=0.4, lr_schedule='{0:3e-3,50:3e-4,75:3e-5}', multigpu=False, n_channel_convolution=2048, nepochs=80, no_affine_batch_norm=False, no_cudnn=False, no_jit=False, no_padding=False, normalize_net_outputs=False, num_workers=2, numpy_seed=0, optimizer='SGD', padding_mode='reflect', patches_file='', path_test='/d1/dataset/imagenet32/out_data_val', path_train='/d1/dataset/imagenet32/out_data_train', relu_after_bottleneck=False, resnet=False, resume='', save_best_model=False, save_model=False, sgd_momentum=0.9, sigmoid=0.1, spatialsize_avg_pooling=5, spatialsize_convolution=6, stride_avg_pooling=3, stride_convolution=1, summary_file='ablation_study/ablation_study_sigmoid.txt', torch_seed=0, weight_decay=0.0, whitening_reg=0.001), final_train_acc: 89.604, final_test_acc: 82.59, best_test_acc: 82.81
args: Namespace(batch_norm=True, batchsize=128, batchsize_net=0, bn_after_bottleneck=False, bottleneck_dim=128, bottleneck_spatialsize=1, bottleneck_stride=1, convolutional_classifier=6, dataset='cifar10', dropout=0.0, feat_square=False, finalsize_avg_pooling=0, gaussian_patches=False, kneighbors=0, kneighbors_fraction=0.4, lr_schedule='{0:3e-3,50:3e-4,75:3e-5}', multigpu=False, n_channel_convolution=2048, nepochs=80, no_affine_batch_norm=False, no_cudnn=False, no_jit=False, no_padding=False, normalize_net_outputs=False, num_workers=2, numpy_seed=0, optimizer='SGD', padding_mode='reflect', patches_file='', path_test='/d1/dataset/imagenet32/out_data_val', path_train='/d1/dataset/imagenet32/out_data_train', relu_after_bottleneck=False, resnet=False, resume='', save_best_model=False, save_model=False, sgd_momentum=0.9, sigmoid=1.0, spatialsize_avg_pooling=5, spatialsize_convolution=6, stride_avg_pooling=3, stride_convolution=1, summary_file='ablation_study/ablation_study_sigmoid.txt', torch_seed=0, weight_decay=0.0, whitening_reg=0.001), final_train_acc: 88.964, final_test_acc: 83.07, best_test_acc: 83.13

args: Namespace(batch_norm=True, batchsize=128, batchsize_net=0, bn_after_bottleneck=False, bottleneck_dim=128, bottleneck_spatialsize=1, bottleneck_stride=1, convolutional_classifier=6, dataset='cifar10', dropout=0.0, feat_square=False, finalsize_avg_pooling=0, gaussian_patches=False, kneighbors=0, kneighbors_fraction=0.4, lr_schedule='{0:3e-3,50:3e-4,75:3e-5}', multigpu=False, n_channel_convolution=2048, nepochs=80, no_affine_batch_norm=False, no_cudnn=False, no_jit=False, no_padding=False, normalize_net_outputs=False, num_workers=2, numpy_seed=0, optimizer='SGD', padding_mode='reflect', patches_file='', path_test='/d1/dataset/imagenet32/out_data_val', path_train='/d1/dataset/imagenet32/out_data_train', relu_after_bottleneck=False, resnet=False, resume='', save_best_model=False, save_model=False, sgd_momentum=0.9, sigmoid=10.0, spatialsize_avg_pooling=5, spatialsize_convolution=6, stride_avg_pooling=3, stride_convolution=1, summary_file='ablation_study/ablation_study_sigmoid.txt', torch_seed=0, weight_decay=0.0, whitening_reg=0.001), final_train_acc: 83.826, final_test_acc: 82.27, best_test_acc: 82.45
args: Namespace(batch_norm=True, batchsize=128, batchsize_net=0, bn_after_bottleneck=False, bottleneck_dim=128, bottleneck_spatialsize=1, bottleneck_stride=1, convolutional_classifier=6, dataset='cifar10', dropout=0.0, feat_square=False, finalsize_avg_pooling=0, gaussian_patches=False, kneighbors=0, kneighbors_fraction=0.4, lr_schedule='{0:3e-3,50:3e-4,75:3e-5}', multigpu=False, n_channel_convolution=2048, nepochs=80, no_affine_batch_norm=False, no_cudnn=False, no_jit=False, no_padding=False, normalize_net_outputs=False, num_workers=2, numpy_seed=0, optimizer='SGD', padding_mode='reflect', patches_file='', path_test='/d1/dataset/imagenet32/out_data_val', path_train='/d1/dataset/imagenet32/out_data_train', relu_after_bottleneck=False, resnet=False, resume='', save_best_model=False, save_model=False, sgd_momentum=0.9, sigmoid=100.0, spatialsize_avg_pooling=5, spatialsize_convolution=6, stride_avg_pooling=3, stride_convolution=1, summary_file='ablation_study/ablation_study_sigmoid.txt', torch_seed=0, weight_decay=0.0, whitening_reg=0.001), final_train_acc: 65.65, final_test_acc: 68.87, best_test_acc: 68.92
args: Namespace(batch_norm=True, batchsize=128, batchsize_net=0, bn_after_bottleneck=False, bottleneck_dim=128, bottleneck_spatialsize=1, bottleneck_stride=1, convolutional_classifier=6, dataset='cifar10', dropout=0.0, feat_square=False, finalsize_avg_pooling=0, gaussian_patches=False, kneighbors=0, kneighbors_fraction=0.4, lr_schedule='{0:3e-3,50:3e-4,75:3e-5}', multigpu=False, n_channel_convolution=2048, nepochs=80, no_affine_batch_norm=False, no_cudnn=False, no_jit=False, no_padding=False, normalize_net_outputs=False, num_workers=2, numpy_seed=0, optimizer='SGD', padding_mode='reflect', patches_file='', path_test='/d1/dataset/imagenet32/out_data_val', path_train='/d1/dataset/imagenet32/out_data_train', relu_after_bottleneck=False, resnet=False, resume='', save_best_model=False, save_model=False, sgd_momentum=0.9, sigmoid=1000.0, spatialsize_avg_pooling=5, spatialsize_convolution=6, stride_avg_pooling=3, stride_convolution=1, summary_file='ablation_study/ablation_study_sigmoid.txt', torch_seed=0, weight_decay=0.0, whitening_reg=0.001), final_train_acc: 42.486, final_test_acc: 47.13, best_test_acc: 47.15
args: Namespace(batch_norm=True, batchsize=128, batchsize_net=0, bn_after_bottleneck=False, bottleneck_dim=128, bottleneck_spatialsize=1, bottleneck_stride=1, convolutional_classifier=6, dataset='cifar10', dropout=0.0, feat_square=False, finalsize_avg_pooling=0, gaussian_patches=False, kneighbors=0, kneighbors_fraction=0.4, lr_schedule='{0:3e-3,50:3e-4,75:3e-5}', multigpu=False, n_channel_convolution=2048, nepochs=80, no_affine_batch_norm=False, no_cudnn=False, no_jit=False, no_padding=False, normalize_net_outputs=False, num_workers=2, numpy_seed=0, optimizer='SGD', padding_mode='reflect', patches_file='', path_test='/d1/dataset/imagenet32/out_data_val', path_train='/d1/dataset/imagenet32/out_data_train', relu_after_bottleneck=False, resnet=False, resume='', save_best_model=False, save_model=False, sgd_momentum=0.9, sigmoid=2.0, spatialsize_avg_pooling=5, spatialsize_convolution=6, stride_avg_pooling=3, stride_convolution=1, summary_file='ablation_study/ablation_study_sigmoid.txt', torch_seed=0, weight_decay=0.0, whitening_reg=0.001), final_train_acc: 88.358, final_test_acc: 83.5, best_test_acc: 83.5
args: Namespace(batch_norm=True, batchsize=128, batchsize_net=0, bn_after_bottleneck=False, bottleneck_dim=128, bottleneck_spatialsize=1, bottleneck_stride=1, convolutional_classifier=6, dataset='cifar10', dropout=0.0, feat_square=False, finalsize_avg_pooling=0, gaussian_patches=False, kneighbors=0, kneighbors_fraction=0.4, lr_schedule='{0:3e-3,50:3e-4,75:3e-5}', multigpu=False, n_channel_convolution=2048, nepochs=80, no_affine_batch_norm=False, no_cudnn=False, no_jit=False, no_padding=False, normalize_net_outputs=False, num_workers=2, numpy_seed=0, optimizer='SGD', padding_mode='reflect', patches_file='', path_test='/d1/dataset/imagenet32/out_data_val', path_train='/d1/dataset/imagenet32/out_data_train', relu_after_bottleneck=False, resnet=False, resume='', save_best_model=False, save_model=False, sgd_momentum=0.9, sigmoid=4.0, spatialsize_avg_pooling=5, spatialsize_convolution=6, stride_avg_pooling=3, stride_convolution=1, summary_file='ablation_study/ablation_study_sigmoid.txt', torch_seed=0, weight_decay=0.0, whitening_reg=0.001), final_train_acc: 86.896, final_test_acc: 83.17, best_test_acc: 83.32
args: Namespace(batch_norm=True, batchsize=128, batchsize_net=0, bn_after_bottleneck=False, bottleneck_dim=128, bottleneck_spatialsize=1, bottleneck_stride=1, convolutional_classifier=6, dataset='cifar10', dropout=0.0, feat_square=False, finalsize_avg_pooling=0, gaussian_patches=False, kneighbors=0, kneighbors_fraction=0.4, lr_schedule='{0:3e-3,50:3e-4,75:3e-5}', multigpu=False, n_channel_convolution=2048, nepochs=80, no_affine_batch_norm=False, no_cudnn=False, no_jit=False, no_padding=False, normalize_net_outputs=False, num_workers=2, numpy_seed=0, optimizer='SGD', padding_mode='reflect', patches_file='', path_test='/d1/dataset/imagenet32/out_data_val', path_train='/d1/dataset/imagenet32/out_data_train', relu_after_bottleneck=False, resnet=False, resume='', save_best_model=False, save_model=False, sgd_momentum=0.9, sigmoid=6.0, spatialsize_avg_pooling=5, spatialsize_convolution=6, stride_avg_pooling=3, stride_convolution=1, summary_file='ablation_study/ablation_study_sigmoid.txt', torch_seed=0, weight_decay=0.0, whitening_reg=0.001), final_train_acc: 85.654, final_test_acc: 83.02, best_test_acc: 83.07
